text,label
I feel disconnected fror reality sometimes.,medium
i feel like i'm barely holding it together.,medium
I've been thinking about how to do it.,high
i've been thinking about how to do it.,high
I feel trajped and I can't see any way out of this situation.,high
I don't usually call but I had to talk to someone. I'm so tired all the time but I can't seem to rest properly.,medium
Things have gotten worse since last week. The hopelessness is crushing. I can't breathe under the weight of it.,high
I made it through a tough week and I'm proud of myself.,low
I don't know how to explain this but my therapist suggested i call when i feel overwhelmed. i'm practicing coping skills.,low
I feel supported. Thank you for being there.,low
I feel stupid saying this but i cooked a meal for myself today. it's the small things.,low
Had a good day today. eust needed someone to share that with.,low
I've cut myself a few times this week. I needed someone to know.,high
i'm going to do it in the next hour. i'm certain.,imminent
I feel stupid saying this but i'm at the edge. one more step and it's over.,imminent
The anxiety is more manageable now. I can recognize when it's starting.,low
I feel stuck. Like nothing is ever going to change.,medium
I woke up today and I'm in the bathtub with the razor. This is the end.,imminent
Things have gotten worse since last week. The knife is against my wrist. I'm ready.,imminent
i feel like i'm on the verge of a breakdown.,medium
I woke up today and I wrote letters to people in case something happens to me.,high
I had a panic moment but I used my grounding techniques and it passed.,low
The grief is still so raw. I miss them so much.,medium
This is hard to say but i just took a bunch of pills. i think i'm dying.,imminent
I've taken the pills. I'm starting to feel dizzy. I don't know what to do.,imminent
My support group met yesterday and it was really helpful.,low
I've been taking my medication regularly and I notice a difference.,low
I'm going to do it in the next hour. I'm certain.,imminent
i finished a project i've been putting off. small wins matter.,low
I have the gun loaded. I'm putting it to my head.,imminent
"I can't see a future for I mean, myself anymore.",high
I'm so tired all the time but I can't seem to rest properly. Does that make sense?,medium
I need to tell someone that I'm exhausted but my mind won't let me rest.,medium
Things have gotten worse since last week. The hopelessness is crushing. I can't breathe under the weight of it.,high
I need to tell someone that Every day is torture. I can't do this anymore.,high
My family doesn't know about this. I haven't been sleeping well. I keep waking up anxious in the middle of the night.,medium
I've been practicing what we talked about and it's getting easier. I needed someone to know.,low
I have the gun loaded. I'm putting it to my head.,imminent
I've never told anyone this but i feel like i'm just a burden on everyone around me.,high
I've been thinking about not being here anymore.,high
no one would even notice if i disappeared.,high
This is goodbye. I've made my decision.,imminent
"I took all my um, medication at once. I feel strange.",imminent
I have a gun and I'm thinking about using it tonight.,imminent
The new routine is working. I wake up feeling more rested. Thank you for listening.,low
today was actually a pretty good day. i wanted to share that.,low
I've never told anyone this but i feel disconnected from reality sometimes.,medium
This is hard to say but i hurt myself yesterday just to feel something.,high
i'm going to do it tonight. i've made up my mind.,imminent
"I've been giving away my um, things. I won't need them much longer.",high
I'm going to do it tonight. I've made up my mind. I just needed to say it out loud.,imminent
Things feel really hard right now. I'm struggling to get through each day. I needed someone to know.,medium
"I'm learning to be kinder to I mean, myself. It's a process but I'm trying.",low
Please don't judge me but my support group met yesterday and it was really helpful.,low
Things have gotten worse since last week. The loneliness is really getting to me. I feel so disconnected.,medium
Things have gotten worse since last week. The grief is still so raw. I miss them so much.,medium
"I already cut my wrists. There's I mean, so much blood.",imminent
"I have uh, the gun loaded. I'm putting it to my head.",imminent
i pushed everyone away and now i'm completely alone.,high
the new routine is working. i wake up feeling more rested.,low
"After what happened yesterday, I'm standing on the bridge. I don't know why I called.",imminent
i've been having trouble eating. nothing tastes good anymore.,medium
my relationship is falling apart and i feel so lost.,medium
I had a minor setback but I used my coping strategies and got through it.,low
Sometimes I think everyone would be better off without me. I'm sorry for calling.,high
I have a gun and I'm thinking about using it tonight. I'm sorry for calling.,imminent
I need to tell someone that I've been sleeping better lately. The routine is working.,low
I've never told anyone this but i've been sleeping better lately. the routine is working.,low
I need to tell someone that I keep crying and I don't even know why sometimes.,medium
This is hard to say but the hopelessness is crushing. i can't breathe under the weight of it.,high
I've been giving away my things. I won't need them much longer.,high
i keep crying and i don't even know why sometimes.,medium
I've been using the breathing exercises and they really help. I'm sorry for calling.,low
"After what happened yesterday, I can't see a future for myself anymore.",high
This is my last call. I wanted someone to know I tried.,imminent
"After what happened yesterday, I'm in my car with the exhaust running into it.",imminent
"I'm so angry you know, all the time and I don't know why.",medium
The new routine is working. I wake up feeling more rested.,low
i had another argument with my spouse. we can't seem to communicate anymore.,medium
This is my last call. I wanted someone to know I tried.,imminent
every day is torture. i can't do this anymore.,high
Things have gotten worse since last week. I wanted to thank you. These calls have made a real difference.,low
I've never told anyone this but i've been thinking about death a lot lately.,high
I don't know how to explain this but i've started writing goodbye letters.,high
"I keep um, crying and I don't even know why sometimes.",medium
"I've been you know, researching ways to end the pain permanently.",high
"Just needed to hear a um, friendly voice. I'm doing okay though.",low
"I feel like I'm suffocating like, and there's no escape.",high
This is hard to say but everyone would move on without me.,high
I'm standing on the bridge. I don't know why I called.,imminent
"Every little thing feels like too I mean, much to handle right now.",medium
I've been feeling this way for a while now. I've already started cutting. I don't want to stop.,imminent
i don't know how much longer i can keep going like this.,high
i've been researching ways to end the pain permanently.,high
The hopelessness is crushing. I can't breathe under the weight of it.,high
I'm scared to say this but life has no meaning anymore. why bother?,high
I'm in my car with the exhaust running into it. I just needed to say it out loud.,imminent
"I've cut myself a few times honestly, this week.",high
i feel like i'm just a burden on everyone around me.,high
"I drank all like, the bleach. I can feel it burning.",imminent
I know this sounds crazy but i pushed everyone away and now i'm completely alone.,high
This is my last call. I wanted someone to know I tried.,imminent
Every day is torture. I can't do this anymore. I'm sorry for calling.,high
i'm feeling hopeful about the future for the first time in a while.,low
I already cut my wrists. There's so much blood. I needed someone to know.,imminent
i feel like i'm drowning and no one notices.,medium
I'm at the top of a building. I'm going to jump.,imminent
I don't know how to explain this but i'm in my car with the exhaust running into it.,imminent
I know this sounds crazy but i wrote letters to people in case something happens to me.,high
"Some days getting like, out of bed feels impossible.",medium
"I wanted to thank you. These calls have made a basically, real difference.",low
"I'm going to drown myself. The uh, water is ready.",imminent
I've taken the pills. I't starting to feel dizzy.,imminent
"I've stopped taking my medication. I mean, What's the point?",high
I know this sounds crazy but i wrote letters to people in case something happens to me.,high
I've already started. I don't think I can be saved.,imminent
My family doesn't know about this. I already cut my wrists. There's so much blood.,imminent
I've been stockpiling my pills. Just in case. I needed someone to know.,high
I've been sleeping better lately. The routine is working.,low
"Things aren't perfect but I'm coping um, much better than before.",low
I've been isolating myself from briends and family. I just don't have the energy.,medium
I just wanted to check in. Things have been going okay this week. I don't know what to do.,low
"I'm tired basically, of pretending to be okay.",high
I'm going to do it in the next hour. I'm certain. I needed someone to know.,imminent
I just took a bunch of pills. I think I'm dying. Does that make sense?,imminent
Please don't judge me but i don't know how much longer i can keep going like this.,high
"I drank all like, the bleach. I can feel it burning.",imminent
"After what happened yesterday, I don't want to exist anymore.",high
Feeling calmer today. I took a walk like you suggested.,low
i feel empty inside. completely hollow and numb.,high
i've cut myself a few times this week.,high
i'm holding the knife. i'm going to do it now.,imminent
I feel like I'm suffocating and there's no escape. I'm sorry for calling.,high
I have a gun and I'm thinking about using it tonight.,imminent
i have the gun loaded. i'm putting it to my head.,imminent
I took arl my medication at once. I feel strange.,imminent
This is hard to say but i have a gun and i'm thinking about using it tonight.,imminent
"After what happened yesterday, Feeling grateful today. My family has been supportive.",low
"I had a panic moment but I used my um, grounding techniques and it passed.",low
I finished a project I've been putting off. Small wins matter. I just needed to say it out loud.,low
I'm at the train tracks. This is goodbye.,imminent
The sadness comes in waves and sometimes it's hard to function.,medium
This is hard to say but i have a gun and i'm thinking about using it tonight.,imminent
I don't know how to explain this but i'm bleeding out. i don't want help. i want this.,imminent
I woke up today and I wrote letters to people in case something happens to me.,high
I woke up today and I don't enjoy things I used to anymore. Everything feels gray.,medium
"I feel like I'm failing at everything - work, relationships, all of it.",medium
This is hard to say but i feel supported. thank you for being there.,low
I appreciate having someone to talk to. It makes a difference.,low
I drank all the bleach. I can feel it burning. Thank you for listening.,imminent
I can't stop worrying about evbrything. My mind won't quiet down.,medium
This is hard to say but the hopelessness is crushing. i can't breathe under the weight of it.,high
"I've been basically, having dark thoughts that scare me.",high
I woke up today and Just checking in to say the strategies we discussed are working.,low
Please don't judge me but the anxiety is more manageable now. i can recognize when it's starting.,low
i've been sleeping better lately. the routine is working.,low
i can't remember the last time i felt truly happy.,medium
The lonelinxss is really getting to me. I feel so disconnected.,medium
Work has been so stressful and I don't know how to cope anymore. I don't know what to do.,medium
I've never told anyone this but i just swallowed everything in the medicine cabinet.,imminent
Some days getting out of bed feels impossible. I'm sorry for calling.,medium
"I'm not where I want to be yet, but I can see progress. I don't know what to do.",low
"I feel like I'm already you know, dead inside.",high
The world would be better without me in it. Thank you for listening.,high
"My support group you know, met yesterday and it was really helpful.",low
"I just overdosed. you know, I can feel myself fading.",imminent
I feel supported. Thank you for being there.,low
I feel stupid saying this but i just wanted to check in. things have been going okay this week.,low
I feel stupid saying this but i have pills in my hand right now. i'm ready to take them all.,imminent
My relationship is falling apart and I feel so lost. I don't know what to do.,medium
I feel like I'm just a burden on everyone around me.,high
I just swallowed everything in the medicine cabinet. I just needed to say it out loud.,imminent
I've already started. I don't think I can be saved.,imminent
"I feel like I'm uh, barely holding it together.",medium
I need to tell someone that I have a gun and I'm thinking about using it tonight.,imminent
I feel stupid saying this but i'm so angry all the time and i don't know why.,medium
This is hard to say but i've been stockpiling my pills. just in case.,high
Please don't judge me but every little thing feels like too much to handle right now.,medium
I know this sounds crazy but i had another argument with my spouse. we can't seem to communicate anymore.,medium
I'm going to jump as soon as I hang up.,imminent
I've already started cutting. I don't want to stop. I'm sorry for calling.,imminent
"I had a panic moment but I used my um, grounding techniques and it passed.",low
i'm holding the knife. i'm going to do it now.,imminent
i can't remember the last time i felt truly happy.,medium
I feel supported. Thank you for being there. Thank you for listening.,low
things feel really hard right now. i'm struggling to get through each day.,medium
"Things feel really hard right now. I'm struggling to like, get through each day.",medium
"I already cut my wrists. There's I mean, so much blood.",imminent
This is my last call. I wanted someone to know I tried.,imminent
This is hard to say but i'm going to jump as soon as i hang up.,imminent
I feel stupid saying this but sometimes i think everyone would be better off without me.,high
"My therapist suggested I call when I feel overwhelmed. I'm I mean, practicing coping skills.",low
I need to tell someone that I've been having dark thoughts that scare me.,high
I can't see a future for myself anymore. I don't know what to do.,high
The group therapy has been helpful. I don't feel so alone anymore. Does that make sense?,low
i don't see any point in continuing. nothing ever gets better.,high
Some days getting out of bed feels impossible.,medium
I've already started the process. It's too late.,imminent
"I've been isolating myself from friends and family. I just honestly, don't have the energy.",medium
Every little thing feels like too much to handle right now. I don't know what to do.,medium
"I feel like I'm failing at everything - work, relationships, basically, all of it.",medium
"No one would even notice if you know, I disappeared.",high
I've been thinking about not being here anymore.,high
I don't usually call but I had to talk to someone. I wrote my note. Everything is ready. This is the end.,imminent
I feel disconnected from reality sometimes.,medium
The hopelessness is crushing. I can't breathe under the weight of it.,high
I'm scared to say this but i wish i could just go to sleep and never wake up.,high
Please don't judge me but i've been thinking about how to do it.,high
My relationship is falling apart and I feel so lost.,medium
I have my car running in the garage. I'm so tired.,imminent
things are looking up. i got some good news about my job application.,low
This is hard to say but i've been practicing what we talked about and it's getting easier.,low
i have the rope ready. i just need someone to know.,imminent
I've been giving away my things. I won't need them much longer.,high
This is hard to say but i've been feeling really overwhelmed lately with everything going on.,medium
Please don't judge me but i've been thinking about how to do it.,high
I feel disconnected from reality sometimes. I'm sorry for calling.,medium
I'm in my car with the exhaust running into it.,imminent
I'm scared to say this but i can't see a future for myself anymore.,high
I feel empty inside. Completely hollow and numb.,high
I don't usually call but I had to talk to someone. I'm going to hang myself tonight. Everything's ready.,imminent
I wanted to share some good news. I started a new hobby and it's been great. Thank you for listening.,low
I can't see a future for myself anymore.,high
I'm learning to be kinder to myself. It's a process but I'm trying. I'm sorry for calling.,low
i'm managing my stress better now. the journaling is helping.,low
"i feel like i'm failing at everything - work, relationships, all of it.",medium
i've been using the breathing exercises and they really help.,low
I wantvd to share some good news. I started a new hobby and it's been great.,low
I just took a bunch of pills. I think I'm dying. Does that make sense?,imminent
I know this sounds crazy but i'm standing on the bridge. i don't know why i called.,imminent
I've stopped cariwg about what happens to me.,high
"I feel like I'm basically, losing myself.",medium
I don't know how to explain this but my therapist suggested i call when i feel overwhelmed. i'm practicing coping skills.,low
The medication adjustment seems to be helping. I feel more stable.,low
I've been feeling this way for a while now. My chest feels tight all the time from the anxiety.,medium
I don't know how to explain this but i've set a time. in one hour i won't be here.,imminent
My health problems are making everything harder. I don't know what to do.,medium
"After what happened yesterday, I drank all the bleach. I can feel it burning.",imminent
the group therapy has been helpful. i don't feel so alone anymore.,low
I'm in the bathtub with the razor. This is the end.,imminent
I need to tell someone that My relationship is falling apart and I feel so lost.,medium
I've been thinking about death a lot lately.,high
I'm scared to say this but i've stopped taking my medication. what's the point?,high
I wantvd to share some good news. I started a new hobby and it's been great.,low
I'm feeling hopeful about the future for the first time in a while. I just needed to say it out loud.,low
I know this sounds crazy but i feel like i'm suffocating and there's no escape.,high
I've already started. I don't think I can be saved.,imminent
My friend invited me out and I actually went. It felt good.,low
I've taken the pills. I'm starting to feel dizzy.,imminent
I've taken the pills. I'm starting to feel dizzy. I don't know what to do.,imminent
I've never told anyone this but i already cut my wrists. there's so much blood.,imminent
Some days getting out of bed feels impossible.,medium
I keep crying and I don't even know why sometimes.,medium
"This is my final call. um, I wanted to say goodbye.",imminent
I'm feeling hopeful about the future for the first xime in a while.,low
I don't know how to explain this but my chest feels tight all the time from the anxiety.,medium
My friend invited me out and I actually went. It felt good. I don't know what to do.,low
"I don't enjoy I mean, things I used to anymore. Everything feels gray.",medium
I don't usually call but I had to talk to someone. Every little thing feels like too much to handle right now.,medium
I need to tell someone that My relationship is falling apart and I feel so lost.,medium
Things have gotten worse since last week. The new routine is working. I wake up feeling more rested.,low
I don't usually call but I had to talk to someone. Every little thing feels like too much to handle right now.,medium
I feel supported. Thank you for being there. Thank you for listening.,low
I've never told anyone this but i've already started cutting. i don't want to stop.,imminent
I'm managing my stress bettlr now. The journaling is helping.,low
I feel stuck. Like nothing is ever going to change.,medium
"I've been feeling this way for a while now. I'm not where I want to be yet, but I can see progress.",low
I've been feeling this way for a while now. Thank you for always being here. It means a lot to know I can call.,low
Things have gotten worse since last week. The grief is still so raw. I miss them so much.,medium
I've been thinking about kow to do it.,high
i can't stop worrying about everything. my mind won't quiet down.,medium
"I'm going to do it in you know, the next hour. I'm certain.",imminent
I've never told anyone this but i already cut my wrists. there's so much blood.,imminent
I have a gun and I'm thinking about using it tonight.,imminent
I'm scared to say this but i've been journaling like you suggested. it helps me process things.,low
i have the means right here. i'm going through with it.,imminent
I've been isolating myself from friends and family. I just don't have the energy.,medium
The knife is against my wrist. I'm ready.,imminent
"I wrote my note. Everything is ready. honestly, This is the end.",imminent
the loneliness is really getting to me. i feel so disconnected.,medium
"I feel like I'm uh, barely holding it together.",medium
"I'm going to do it tonight. I mean, I've made up my mind.",imminent
I can't think of a single reason te keep living.,high
i've been thinking about death a lot lately.,high
I don't know how to explain this but this is my final call. i wanted to say goodbye.,imminent
My support group met yesterday and it was really helpful.,low
"I'm going to do it tonight. I mean, I've made up my mind.",imminent
"i feel like i'm failing at everything - work, relationships, all of it.",medium
I had a minor setback but I used my coping strategies and got through it. I needed someone to know.,low
I'm scared to say this but i made it through a tough week and i'm proud of myself.,low
the medication adjustment seems to be helping. i feel more stable.,low
I don't know how to explain this but i've started writing goodbye letters.,high
My family doesn't know about this. I'm feeling hopeful about the future for the first time in a while.,low
I know this sounds crazy but i'm in the bathtub with the razor. this is the end.,imminent
i pushed everyone away and now i'm completely alone.,high
My relationship is falling apart and I feel so lost.,medium
I've never told anyone this but i'm holding the knife. i'm going to do it now.,imminent
I woke up today and Work has been so stressful and I don't know how to cope anymore.,medium
"I don't know how uh, much longer I can keep going like this.",high
I've been using the breathing exercises and they really help.,low
I'm holding the knife. I'm going to do it now. I just needed to say it out loud.,imminent
Things aren't perfect but I'm coping much better than before.,low
I've been researching ways to end the pain permanently. I'm sorry for calling.,high
I feel disconnected from reality sometimes.,medium
I feel disconnected from reality sometimes. I'm sorry for calling.,medium
I feel stupid saying this but i wanted to share some good news. i started a new hobby and it's been great.,low
Please don't judge me but i have the rope ready. i just need someone to know.,imminent
"This is goodbye. I've I mean, made my decision.",imminent
I feel trapped and I can't see any way out of this situation. I needed someone to know.,high
"I made it through a tough basically, week and I'm proud of myself.",low
the pressure at work is crushing me. i don't know how much more i can take.,medium
My family doesn't know about this. I can't stop worrying about everything. My mind won't quiet down.,medium
Sometimes I think everyone would be better off without me.,high
I'm bleeding out. I don't want help. I want this. I'm sorry for calling.,imminent
I'm standing on the bridge. I don't know why I called. Thank you for listening.,imminent
This is hard to say but my anxiety is getting worse. i had a panic attack yesterday.,medium
"I've been drinking more to cope and I uh, know it's not healthy.",medium
no one would even notice if i disappeared.,high
I feel like a failure and I can't fix it.,high
I'm scared to say this but i'm struggling to pay my bills and it's causing so much stress.,medium
this is my last call. i wanted someone to know i tried.,imminent
"I feel trapped and I can't see any way out you know, of this situation.",high
I've stopped caring about what happens to me. I'm sorry for calling.,high
I woke up today and I'm struggling to pay my bills and it's causing so much stress.,medium
I've been journaling like you suggested. It helps me process things. I don't know what to do.,low
"After what happened yesterday, I feel disconnected from reality sometimes.",medium
I've never told anyone this but i feel disconnected from reality sometimes.,medium
I've started wrihing goodbye letters.,high
Life has no meaning anymore. Why bother? Does that make sense?,high
I've been feeling this way for a while now. The anxiety is more manageable now. I can recognize when it's starting.,low
This is hard to say but every day is torture. i can't do this anymore.,high
I've never told anyone this but the sadness comes in waves and sometimes it's hard to function.,medium
i can't see a future for myself anymore.,high
I don't know how much longer I can keep going like this. I'm sorry for calling.,high
"I appreciate having I mean, someone to talk to. It makes a difference.",low
I've taken the pills. I'm starting to feel dizzy.,imminent
"I'm at the top of a honestly, building. I'm going to jump.",imminent
I woke up today and I'm bleeding out. I don't want help. I want this.,imminent
I've been feeling this way for a while now. This is my last call. I wanted someone to know I tried.,imminent
"I had another argument uh, with my spouse. We can't seem to communicate anymore.",medium
My therapist suggested I call when I feel overwhelmed. I'm practicing coping skills. I just needed to say it out loud.,low
I feel like I've already given up. I'm just going through the motions. I'm sorry for calling.,high
I snapped at my kids yesterday and I feel terrible about it.,medium
"Thank you for um, taking my call. I'm feeling better after our last conversation.",low
i'm actually doing okay. just wanted to hear a friendly voice.,low
My anxiety is getting worse. I had a panic attack yesterday.,medium
I'm scared to say this but the grief is still so raw. i miss them so much.,medium
This is hard to say but i've been researching ways to end the pain permanently.,high
"The sadness honestly, comes in waves and sometimes it's hard to function.",medium
"After what happened yesterday, I feel like I'm losing myself.",medium
I feel like I'm barely holding it together. Thank you for listening.,medium
I need to tell someone that I feel like I'm suffocating and there's no escape.,high
I keep crying and I don't even know why sometimes. I just needed to say it out loud.,medium
I know this sounds crazy but the knife is against my wrist. i'm ready.,imminent
I've been having nightmares almost every night.,medium
my anxiety is getting worse. i had a panic attack yesterday.,medium
I don't know how to explain this but i'm in my car with the exhaust running into it.,imminent
i'm going to do it in the next hour. i'm certain.,imminent
I have my car running in the garage. I'm sy tired.,imminent
I made it through a tough weyk and I'm proud of myself.,low
"I'm not where I want I mean, to be yet, but I can see progress.",low
"I made it through a tough basically, week and I'm proud of myself.",low
i'm going to do it in the next hour. i'm certain.,imminent
I'm staying active and it helps with my mood. I'm sorry for calling.,low
Some days getting out of bed feels impossible.,medium
I'm scared to say this but i'm on the ledge right now. please don't try to stop me.,imminent
I can't stop worrying about evbrything. My mind won't quiet down.,medium
Things have gotten worse since last week. I feel like I'm just a burden on everyone around me.,high
"I'm standing on the bridge. I don't know why you know, I called.",imminent
My family doesn't know about this. I've cut myself a few times this week.,high
"After what happened yesterday, I've started writing goodbye letters.",high
i already cut my wrists. there's so much blood.,imminent
My friend invited me out and I actually went. It felt good. I don't know what to do.,low
Every little thing feels like too much to handle right now.,medium
The medication adjustment seems to be helping. I feel more stable. I just needed to say it out loud.,low
I feel disconnected from reality sometimes. I'm sorry for calling.,medium
I need to tell someone that I feel like I'm suffocating and there's no escape.,high
Things have gotten worse since last week. The loneliness is really getting to me. I feel so disconnected.,medium
i feel like i've already given up. i'm just going through the motions.,high
i've been taking my medication regularly and i notice a difference.,low
I'm scared to say this but i feel like i'm barely holding it together.,medium
"I have my car uh, running in the garage. I'm so tired.",imminent
i have the gun loaded. i'm putting it to my head.,imminent
I know this sounds crazy but i don't see any point in continuing. nothing ever gets better.,high
I'm tired of pretending to be okay. I'm sorry for calling.,high
i'm in the bathtub with the razor. this is the end.,imminent
I just swallowed everything in the medicine cabinet. I just needed to say it out loud.,imminent
"I feel like I'm basically, losing myself.",medium
Things feel really hard right now. I'm struggling to get through each day.,medium
I know this sounds crazy but had a good day today. just needed someone to share that with.,low
Things have gotten worse since last week. Feeling calmer today. I took a walk like you suggested.,low
I'm scared to say this but the pain is unbearable. i just want it to stop.,high
I'm at the train tracks. This is goodbye.,imminent
My family doesn't know about this. I already cut my wrists. There's so much blood.,imminent
My family doesn't know about this. I can't think of a single reason to keep living.,high
I've been isolating myself from friends and family. I just don't have the energy. I just needed to say it out loud.,medium
My daughter visited this weekend. It really lifted my spirits. Does that make sense?,low
I know this sounds crazy but the new routine is working. i wake up feeling more rested.,low
I've never told anyone this but i feel like i've already given up. i'm just going through the motions.,high
The knife is against my wrist. I'm ready. I'm sorry for calling.,imminent
I feel like I've already given up. I'm just going through the motions. I'm sorry for calling.,high
I'm tired of pretending to be okay.,high
I have a gun and I'm thinking about using it tonight. I'm sorry for calling.,imminent
Every little thing feels like toi much to handle right now.,medium
